cod_fecha,mes,anio
2019-1,Enero,2019
2019-2,Feb,2019
2019-3,Marzo,2019
2019-4,Abril,2019
2019-5,Mayo,2019
2019-6,Junio,2019
2019-7,Julio,2019
2019-8,Ago,2019
2019-9,Sep,2019
2019-10,Oct,2019
2019-11,Nov,2019
2019-12,Dic,2019
2018-1,Enero,2018
2018-2,Feb,2018
2018-3,Marzo,2018
2018-4,Abril,2018
2018-5,Mayo,2018
2018-6,Junio,2018
2018-7,Julio,2018
2018-8,Ago,2018
2018-9,Sep,2018
2018-10,Oct,2018
2018-11,Nov,2018
2018-12,Dic,2018
2020-1,Enero,2020
2020-2,Feb,2020
2020-3,Marzo,2020
2020-4,Abril,2020
2020-5,Mayo,2020
2020-6,Junio,2020
2020-7,Julio,2020
2020-8,Ago,2020
2020-9,Sep,2020
2020-10,Oct,2020
2020-11,Nov,2020
2020-12,Dic,2020
