localidad,nom_loc,nom_dpto,nom_prov,nom_pais,dpto_partido,provincia,pais
1,LA INTERMEDIA,Capital Federal,Capital Federal,Argentina,5402000,5402,54
2,DON TORCUATO,La Plata,Buenos Aires,Argentina,5406441,5406,54
3,KM 45 (PTE. DERQUI),Vicente López,Buenos Aires,Argentina,5406861,5406,54
4,BARTOLOME MITRE,Vicente López,Buenos Aires,Argentina,5406861,5406,54
5,BORGES,Vicente López,Buenos Aires,Argentina,5406861,5406,54
6,MARTINEZ,Vicente López,Buenos Aires,Argentina,5406861,5406,54
7,KM 30,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
8,ADOLFO SOURDEAUX,Vicente López,Buenos Aires,Argentina,5406861,5406,54
9,ING. PABLO NOGUES,Vicente López,Buenos Aires,Argentina,5406861,5406,54
10,LOS POLVORINES,Vicente López,Buenos Aires,Argentina,5406861,5406,54
11,BARRIO EL JAGUEL,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
12,BARRIO EL LUCERO,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
13,BARRIO PARQUE ALVEAR,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
14,VILLA DE MAYO,San Isidro,Buenos Aires,Argentina,5406756,5406,54
15,GRAND BOURG,San Isidro,Buenos Aires,Argentina,5406756,5406,54
16,BARRIO LOS TRONCOS DEL TALAR,San Isidro,Buenos Aires,Argentina,5406756,5406,54
17,BARRIO QUESADA PACHECO,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
18,BARRIO SAN JORGE (LOS POLVORINES-PDO. GRAL. SARMIENTO),Indeterminado,Buenos Aires,Argentina,5406998,5406,54
19,GENERAL PACHECO,Tigre,Buenos Aires,Argentina,5406805,5406,54
20,BARRIO VILLA MAGDALENA,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
21,EL SOL,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
22,BARRIO 9 DE JULIO,Tigre,Buenos Aires,Argentina,5406805,5406,54
23,EL TALAR,Malvinas Argentinas,Buenos Aires,Argentina,5406515,5406,54
24,GUADALUPE,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
25,KM 34 (ING. PABLO NOGUES),Indeterminado,Buenos Aires,Argentina,5406998,5406,54
26,BARRIO DEVOTO,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
27,Kyzyl,Malvinas Argentinas,Buenos Aires,Argentina,5406515,5406,54
28,BARRIO SANTA LUCIA,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
29,KM 36 (GRAND BOURG),Indeterminado,Buenos Aires,Argentina,5406998,5406,54
30,KM 38 (PDO. GRAL. SARMIENTO),Indeterminado,Buenos Aires,Argentina,5406998,5406,54
31,ALTO DEL TALAR,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
32,BARRIO EL BOYERO,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
33,BARRIO EL EMBRUJO,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
34,GARIN,Malvinas Argentinas,Buenos Aires,Argentina,5406515,5406,54
35,BARRIO EL PEREJIL,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
36,RUTA 26 KILOMETRO 48,Malvinas Argentinas,Buenos Aires,Argentina,5406515,5406,54
37,BARRIO FRINO,General San Martín,Buenos Aires,Argentina,5406371,5406,54
38,RUTA 26 MAQUINISTA FRANCISCO SAVIO,Malvinas Argentinas,Buenos Aires,Argentina,5406515,5406,54
39,BARRIO EL ZORZAL,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
40,BELEN DE ESCOBAR,Ituzaingó,Buenos Aires,Argentina,5406410,5406,54
41,BARRIO ENRIQUE DELFINO,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
42,MAQUINISTA FRANCISCO SAVIO,Malvinas Argentinas,Buenos Aires,Argentina,5406515,5406,54
43,BARRIO FERRINI,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
44,BARRIO RESIDENCIAL ESTANCIA GENERAL PACHECO,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
45,BARRIO RICARDO ROJAS (GENERAL PACHECO-PDO. TIGRE),Indeterminado,Buenos Aires,Argentina,5406998,5406,54
46,BARRIO RODRIGUEZ,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
47,BARRIO TRONCOS DEL TALAR,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
48,DOCTOR RICARDO ROJAS,Indeterminado,Buenos Aires,Argentina,5406998,5406,54
49,KM 31 (APEADERO FCGM),Tigre,Buenos Aires,Argentina,5406805,5406,54
