unidad_academica	carrera	plan	vigencia_minima
FCEQN	101	2003	5
FCEQN	102	2007	6
FCEQN	103	2001	4
FCEQN	104	2007	5
FCEQN	105	2004	3
FCEQN	106	2008	5
FCEQN	107	2006	3
FCEQN	108	2010	5
FCEQN	111	2011	2
FCEQN	113	1995	2
FCEQN	114	2013	2
FCEQN	115	1998	3
FCEQN	116	2014	4
FCEQN	117	2014	4
FCEQN	118	2016	3
FCEQN	119	2016	2
FCEQN	120	2019	2
FCEQN	127	1997	2
FCEQN	142	2016	4
FCEQN	143	2000	4
FCEQN	147	2017	10
FCEQN	170	1997	4
FCEQN	172	1997	4
FCEQN	314	1995	2
FCEQN	315	1995	2
FCEQN	505	1991	2
FCEQN	600	2006	1
FCEQN	601	2006	1
FCEQN	901	2012	6
FCEQN	902	2011	6
