unidad_academica|nro_inscripcion|titulo|carrera|legajo|plan|version|fecha_egreso|colacion|juramento|nro_expediente|prom_general|prom_sin_aplazos|nro_regis_dipl_fac|nro_regis_dipl_uni|resol_rectorado|duracion_carrera|observaciones|estado|nro_disp_decano|fecha_disp_decano|fecha_ini_tramite|fecha_ingr_conacad|fecha_apro_conacad|fecha_firma_autor|fecha_eleva_consup|fecha_apro_consup|tipo_copia
FCEQN|FCEQN-9429|00003|101|IQ01689|2003|16|10/17/2018|28|3|01-3419/2018|7.68181818181818|8.05||||78||R|||11/14/2018||||||1
FCEQN|FCEQN-9777|00007|147|LG03721|1992|8|11/15/2018|28|3|01-3420/2018|9.29032258064516|9.29032258064516||||67||R|||11/15/2018||||||1
FCEQN|FCEQN-9791|00007|147|LG03700|1992|8|11/15/2018|28|3|01-3421/2018|8.70967741935484|8.70967741935484||||68||R|||11/15/2018||||||1
FCEQN|FCEQN10101|00007|147|LG03733|1992|8|11/15/2018|28|3|01-3422/2018|8.67741935483871|8.67741935483871||||67||R|||11/15/2018||||||1
FCEQN|FCEQN-9808|00007|147|LG03709|1992|8|11/15/2018|28|3|01-3423/2018|8.16129032258065|8.16129032258065||||67||R|||11/15/2018||||||1
FCEQN|6932|00007|147|517980|1992|8|11/15/2018|28|3|01-3424/2018|5.89189189189189|6.64516129032258||||237||R|||11/16/2018||||||1
FCEQN|FCEQN-6475|00007|147|LG03320|1992|8|11/15/2018|28|3|01-3425/2018|6.39473684210526|7.2258064516129||||127||R|||11/16/2018||||||1
FCEQN|FCEQN-8934|00007|147|LG03641|1992|8|11/15/2018|28|3|01-3426/2018|8.08823529411765|8.48387096774194||||79||R|||11/20/2018||||||1
FCEQN|FCEQN-9188|00008|143|PB01425|2000|14|11/23/2018|28|2|01-3427/2018|6.2972972972973|7.46153846153846||||79||R|||11/28/2018||||||1
FCEQN|FCEQN-4699|00003|101|IQ01347|2003|16|11/30/2018|28|1|01-3428/2018|6.75|7.625||||151||R|||12/03/2018||||||1
FCEQN|FCEQN-379|00008|143|PB00877|2000|14|11/23/2018|28|1|01-3429/2018|7.17241379310345|7.76923076923077||||207||R|||12/03/2018||||||1
FCEQN|FCEQN-6833|00008|143|PB01394|2000|14|11/23/2018|28|3|01-3430/2018|7.03571428571429|7.26923076923077||||80||R|||12/04/2018||||||1
FCEQN|FCEQN-8007|00003|101|IQ01596|2003|16|11/30/2018|28|3|01-3431/2018|6.23636363636364|7.3||||106||R|||12/05/2018||||||1
FCEQN|FCEQN-9653|00005|104|FA04110|2007|10|11/30/2018|28|6|01-3432/2018|8.7948717948718|8.92105263157895||||68||R|||12/05/2018||||||1
FCEQN|FCEQN-9236|00016|106|IA00285|2008|6|11/30/2018|28|2|01-3433/2018|6.89583333333333|7.525||||79||R|||12/06/2018||||||1
FCEQN|65|00026|117|ET00047|2014|1|11/23/2018|28|4|01-3434/2018|8.36842105263158|8.36842105263158||||31||R|||12/07/2018||||||1
FCEQN|FCEQN-731|00005|104|FA03812|2007|10|11/30/2018|28|4|01-3435/2018|6.65|6.71794871794872||||116||R|||12/10/2018||||||1
FCEQN|FCEQN-6264|00015|105|TC00075|2004|6|08/10/2018|28|2|01-3436/2018|8.0625|8.0625||||89||R|||12/12/2018||||||1
FCEQN|FCEQN-9118|00016|106|IA00358|2008|6|11/30/2018|28|3|01-3437/2018|9.26829268292683|9.26829268292683||||56||R|||12/12/2018||||||1
FCEQN|FCEQN-4988|00005|104|FA03999|2007|10|11/30/2018|28|8|01-3438/2018|5.70175438596491|6.66666666666667||||91||R|||12/12/2018||||||1
FCEQN|154|00026|117|ET00018|2014|1|12/08/2017|28|1|01-3439/2018|9.31578947368421|9.31578947368421||||36||R|||12/19/2018||||||1
FCEQN|5577|00024|901|DC00005|2012|2|12/10/2018|28|1|01-3440/2018|9.66666666666667|9.66666666666667||||77||R|||12/19/2018||||||1
FCEQN|FCEQN-9235|00001|172|PM03723|1997|8|12/18/2018|28|1|01-3441/2018|6.13207547169811|7.73529411764706||||81||R|||12/19/2018||||||1
FCEQN|FCEQN-5264|00005|104|FA03684|2007|10|12/19/2018|28|8|01-3442/2018|5.46031746031746|7.07692307692308||||144||R|||12/20/2018||||||1
FCEQN|FCEQN-9242|00007|147|LG03655|1992|8|12/20/2018|28|1|01-3443/2018|7.05128205128205|8||||80||R|||12/20/2018||||||1
FCEQN|FCEQN-9781|00007|147|LG03726|1992|8|12/20/2018|28|3|01-3444/2018|8.70967741935484|8.70967741935484||||68||R|||12/20/2018||||||1
FCEQN|FCEQN-5011|00007|147|LG03160|1992|8|12/20/2018|28|2|01-3445/2018|7.25714285714286|7.90322580645161||||152||R|||12/20/2018||||||1
FCEQN|FCEQN-9347|00007|147|LG03665|1992|8|12/20/2018|28|2|01-3446/2018|7.68571428571429|8.16129032258065||||80||R|||12/20/2018||||||1
